date,temp,precip
2019-10-05,272.02,1.6
2019-10-06,272.28,5.3
2019-10-07,271.48,2.8
2019-10-08,273.33,0
2019-10-09,279.67,3.9
2019-10-10,271.75,0
2019-10-11,271.7,0
2019-10-12,279.8,0
2019-10-13,279.17,0
2019-10-14,279.55,0
2019-10-15,275.82,12.1
2019-10-16,273.38,2.5
2019-10-17,272.08,0.4
2019-10-18,272.68,0.8
2019-10-19,272.62,6.5
2019-10-20,274.65,4.9
2019-10-21,275.37,9.9
2019-10-22,275.67,0.1
2019-10-23,276.15,0
2019-10-24,275.48,2.7
2019-10-25,273.98,0.6
2019-10-26,276.6,0
2019-10-27,280.05,0
2019-10-28,276.98,5.9
2019-10-29,273.9,6.3
2019-10-30,273.28,4.8
2019-10-31,272.15,2.4
2019-11-01,270.53,0.4
2019-11-02,270.77,3.6
2019-11-03,271.43,25
2019-11-04,268.95,0.7
2019-11-05,269.45,16.5
2019-11-06,264.72,0.3
2019-11-07,263.22,1.7
2019-11-08,266.95,11.2
2019-11-09,265.42,0
2019-11-10,260.73,0
2019-11-11,264.27,2.5
2019-11-12,267.25,2.7
2019-11-13,261.9,0
2019-11-14,258.63,0.5
2019-11-15,265.5,21.9
2019-11-16,267.38,3.2
2019-11-17,264.65,23.5
2019-11-18,265.1,1.2
2019-11-19,264.7,5.1
2019-11-20,268.55,0.4
2019-11-21,267.32,0.1
2019-11-22,265.57,0.4
2019-11-23,266.93,4.5
2019-11-24,269.92,5.2
2019-11-25,271.05,0.1
2019-11-26,270.38,0
2019-11-27,271.85,2.4
2019-11-28,267.12,1.5
2019-11-29,267.05,2.7
2019-11-30,264.92,0.6
2019-12-01,266.57,1.6
2019-12-02,266.3,1.1
2019-12-03,259.07,0
2019-12-04,272.13,0
2019-12-05,272.12,0
2019-12-06,272.92,0
2019-12-07,269.23,0.2
2019-12-08,270.45,0
2019-12-09,270.95,0.9
2019-12-10,263.02,0
2019-12-11,266.57,0
2019-12-12,263.65,0.2
2019-12-13,259.13,0.2
2019-12-14,261.92,1.6
2019-12-15,270.25,0
2019-12-16,268.15,0.3
2019-12-17,267.98,2.2
2019-12-18,270.55,4.8
2019-12-19,269.37,0.3
2019-12-20,268.4,6.9
2019-12-21,267.57,7.9
2019-12-22,263.25,4.7
2019-12-23,262.43,0.5
2019-12-24,263.68,6.1
2019-12-25,264.03,2.7
2019-12-26,262.25,0
2019-12-27,265.85,0
2019-12-28,264.6,0
2019-12-29,264.23,0
2019-12-30,267.08,0
2019-12-31,273.38,0
2020-01-01,268.53,0
2020-01-02,272.32,0
2020-01-03,269.23,0
2020-01-04,267.75,1.4
2020-01-05,262.12,0
2020-01-06,265.3,0
2020-01-07,270.77,0
2020-01-08,264.63,0
2020-01-09,274.45,0
2020-01-10,271.6,0
2020-01-11,263.8,0
2020-01-12,270.1,0
2020-01-13,271.55,0
2020-01-14,269.95,0
2020-01-15,272.98,0
2020-01-16,266.73,0
2020-01-17,267.35,0
2020-01-18,265.3,0
2020-01-19,257.12,0
2020-01-20,254.67,0
2020-01-21,266.75,0
2020-01-22,269.57,0
2020-01-23,271.23,0
2020-01-24,269.35,0
2020-01-25,268.02,0
2020-01-26,265.33,0
2020-01-27,264.98,0
2020-01-28,264.97,4.2
2020-01-29,260,7.1
2020-01-30,261.65,0.4
2020-01-31,272.42,0.9
2020-02-01,274.1,0
2020-02-02,270.23,7.7
2020-02-03,273.2,9.5
2020-02-04,272.03,3.2
2020-02-05,258.52,0.4
2020-02-06,257.48,0
2020-02-07,267.45,0
2020-02-08,267.88,0
2020-02-09,268.88,0
2020-02-10,269.17,3.5
2020-02-11,266.83,3
2020-02-12,261.45,0.3
2020-02-13,260.78,2
2020-02-14,263.67,3.1
2020-02-15,267.72,0
2020-02-16,274.68,0
2020-02-17,277.85,0.2
2020-02-18,268.32,0.3
2020-02-19,263.87,0.8
2020-02-20,259.32,0
2020-02-21,270.62,0.2
2020-02-22,268.95,0
2020-02-23,273.08,1.9
2020-02-24,273.7,1.8
2020-02-25,274.88,0
2020-02-26,265.98,2.1
2020-02-27,256.87,1.8
2020-02-28,260.38,1.3
2020-02-29,266.17,0.1
2020-03-01,265.32,0
2020-03-02,264.88,6.8
2020-03-03,266.3,1.4
2020-03-04,259.33,0
2020-03-05,260.08,0.8
2020-03-06,263.22,2.2
2020-03-07,262.15,0
2020-03-08,259.65,0
2020-03-09,268.63,0
2020-03-10,261.37,2.8
2020-03-11,273.2,0
2020-03-12,275.08,0
2020-03-13,274.03,0
2020-03-14,265.75,0.8
2020-03-15,263.1,0
2020-03-16,270.28,0
2020-03-17,271.12,0
2020-03-18,269.97,0
2020-03-19,270.97,0
2020-03-20,270.5,2.3
2020-03-21,268.72,0
2020-03-22,268.17,0
2020-03-23,260.13,0
2020-03-24,257.4,0
2020-03-25,258.78,1.1
2020-03-26,257.17,0.8
2020-03-27,265.82,0.6
2020-03-28,267.48,0
2020-03-29,267.32,0
2020-03-30,265.17,0.1
2020-03-31,256.25,0
2020-04-01,257.43,0
2020-04-02,265.77,0
2020-04-03,264.42,0
2020-04-04,263.22,0
2020-04-05,268.82,0
2020-04-06,269.57,0
2020-04-07,270.57,0
2020-04-08,271.62,0
2020-04-09,270.87,0
2020-04-10,270.22,0
2020-04-11,271.77,0
2020-04-12,272.63,0
2020-04-13,270.92,0
2020-04-14,270.08,0.9
2020-04-15,267.02,0
2020-04-16,273.42,0
2020-04-17,273.9,0
2020-04-18,273.95,0
2020-04-19,273.57,3.4
2020-04-20,273.97,7.9
2020-04-21,272.82,0.7
2020-04-22,270.88,0
2020-04-23,272.23,0
2020-04-24,272.48,0
2020-04-25,271.6,0
2020-04-26,272.77,1.9
2020-04-27,,4
2020-04-28,272.3,6.9
2020-04-29,271.55,5.9
2020-04-30,266.67,7.4
