date,temp,precip
2019-10-05,270.8,3.6
2019-10-06,271.02,2.8
2019-10-07,271.17,2.6
2019-10-08,271.85,0.3
2019-10-09,279.13,5.8
2019-10-10,270.22,0.1
2019-10-11,271.6,0
2019-10-12,279.05,0
2019-10-13,278.25,0
2019-10-14,279.32,0
2019-10-15,275.88,5.5
2019-10-16,272.67,6.3
2019-10-17,273.57,0
2019-10-18,275.85,0.5
2019-10-19,271.4,5
2019-10-20,273.8,5.6
2019-10-21,274.47,9.3
2019-10-22,274.92,0.3
2019-10-23,275.78,0.1
2019-10-24,275.78,1.4
2019-10-25,273.58,0.2
2019-10-26,277,0
2019-10-27,279.27,0
2019-10-28,275.9,5.8
2019-10-29,273.78,8.1
2019-10-30,272.97,4.8
2019-10-31,271.35,1.2
2019-11-01,268.87,0.4
2019-11-02,270.18,2.1
2019-11-03,271.1,11.3
2019-11-04,267.98,0.9
2019-11-05,269.32,23.2
2019-11-06,263.87,0.3
2019-11-07,262.8,0.5
2019-11-08,266.75,4
2019-11-09,264.5,0.2
2019-11-10,263.73,0
2019-11-11,265.88,0.6
2019-11-12,267,6.4
2019-11-13,261.1,4.9
2019-11-14,262.48,
2019-11-15,265.7,
2019-11-16,266.87,
2019-11-17,263.97,
2019-11-18,264.73,
2019-11-19,265.67,
2019-11-20,267.83,
2019-11-21,267.97,
2019-11-22,264.25,
2019-11-23,266.28,
2019-11-24,269.33,
2019-11-25,271.08,43.1
2019-11-26,270.02,18
2019-11-27,272.6,7.4
2019-11-28,267.72,14.8
2019-11-29,265.77,11.4
2019-11-30,264,19.6
2019-12-01,266.87,6.9
2019-12-02,267.37,9
2019-12-03,260.08,7.1
2019-12-04,270.62,8.1
2019-12-05,271.3,7.5
2019-12-06,272.05,0.2
2019-12-07,268.5,2.4
2019-12-08,269.18,0.1
2019-12-09,271.32,2.8
2019-12-10,261.97,1.2
2019-12-11,264.73,0
2019-12-12,263.15,1.3
2019-12-13,258.63,3.6
2019-12-14,260.73,4.6
2019-12-15,268.88,0.3
2019-12-16,269.48,1.2
2019-12-17,267.9,2.1
2019-12-18,269.75,2.8
2019-12-19,267.98,0.9
2019-12-20,267.63,4.5
2019-12-21,267,10.3
2019-12-22,263.4,8.8
2019-12-23,262.12,7.1
2019-12-24,262.73,8.9
2019-12-25,263.08,8.4
2019-12-26,260.78,1.5
2019-12-27,264.68,1.8
2019-12-28,263.35,0
2019-12-29,263.73,0
2019-12-30,266.85,0
2019-12-31,272.08,
2020-01-01,266.65,0
2020-01-02,272.08,0
2020-01-03,268.42,0.1
2020-01-04,266.43,4.7
