date,temp,precip
2019-10-05,272.07,1.76
2019-10-06,272.43,2.35
2019-10-07,272.17,4.52
2019-10-08,270.3,0.06
2019-10-09,280.17,2.39
2019-10-10,271.65,0
2019-10-11,272.52,0
2019-10-12,279.88,0
2019-10-13,279.98,0
2019-10-14,281.52,0
2019-10-15,277.42,6.53
2019-10-16,273.8,3.69
2019-10-17,274.35,0
2019-10-18,276.57,0
2019-10-19,273.18,1.59
2019-10-20,275.32,2.71
2019-10-21,276.68,5.46
2019-10-22,277.25,0
2019-10-23,277.5,0
2019-10-24,278.97,0.5
2019-10-25,274.9,0
2019-10-26,278.2,0
2019-10-27,280.27,0
2019-10-28,275.98,4.81
2019-10-29,274.77,7.35
2019-10-30,273.92,2.92
2019-10-31,272.8,0.76
2019-11-01,271.15,0
2019-11-02,272.65,0.8
2019-11-03,272.42,9.96
2019-11-04,269.15,0.52
2019-11-05,271.08,25.48
2019-11-06,265.22,0
2019-11-07,264.85,0.49
2019-11-08,267.75,12.96
2019-11-09,265.87,0.19
2019-11-10,264.77,0
2019-11-11,266.62,0.16
2019-11-12,268.78,11.83
2019-11-13,262.42,
2019-11-14,261.47,0
2019-11-15,267.15,38.58
2019-11-16,268.23,2.76
2019-11-17,265.18,37.93
2019-11-18,266.7,0.84
2019-11-19,267.12,2.42
2019-11-20,269.83,1.82
2019-11-21,269.22,0
2019-11-22,265.55,0.33
2019-11-23,267.88,2.66
2019-11-24,271.02,3.99
2019-11-25,272.2,0.11
2019-11-26,271.33,0
2019-11-27,273.5,0.41
2019-11-28,268.98,2.67
2019-11-29,267.35,3.35
2019-11-30,265.37,2.41
2019-12-01,268.37,0.71
2019-12-02,268.53,2.21
2019-12-03,260.72,0
2019-12-04,272.3,0
2019-12-05,273.72,0
2019-12-06,271.95,0
2019-12-07,270.47,1.13
2019-12-08,269.53,0
2019-12-09,273,3.63
2019-12-10,263.53,2.1
2019-12-11,268.12,0
2019-12-12,264.18,1.81
2019-12-13,260.4,1.26
2019-12-14,262.32,2.92
2019-12-15,269.5,0
2019-12-16,271.35,0.08
2019-12-17,269.8,0.99
2019-12-18,271.15,0.67
2019-12-19,269.22,0.07
2019-12-20,269.45,5.23
2019-12-21,268.63,13.25
2019-12-22,268.02,8.07
2019-12-23,263.68,4.89
2019-12-24,264.08,8.86
2019-12-25,264.27,7.76
2019-12-26,262.5,0.67
2019-12-27,265.95,3.32
2019-12-28,265,0.13
2019-12-29,264.37,0
2019-12-30,267.9,0
2019-12-31,273.67,
2020-01-01,268.55,0
2020-01-02,273.62,0
2020-01-03,269.62,0.35
2020-01-04,268.07,4.56
2020-01-05,262.15,0.48
2020-01-06,268.05,0
2020-01-07,271.85,0.08
2020-01-08,265.6,0
2020-01-09,275.22,0
2020-01-10,272.38,0
2020-01-11,264.62,0
2020-01-12,271.62,0
2020-01-13,270.78,0
2020-01-14,271.98,0
2020-01-15,273.78,0
2020-01-16,267.85,0
2020-01-17,270.92,0
2020-01-18,266.52,1.85
2020-01-19,258.07,0
2020-01-20,255.63,0
2020-01-21,267.68,0
2020-01-22,270.8,0
2020-01-23,272.35,0
2020-01-24,271.72,0
2020-01-25,268.9,0
2020-01-26,266.35,0
2020-01-27,265.22,0
2020-01-28,266.93,
