date,temp,precip,sw_in,rel_hum,wind_speed
2019-10-03 03:00:00,266.15,0,0,86.3,1.5
2019-10-03 04:00:00,265.95,0,0,83.8,1.9
2019-10-03 05:00:00,265.95,0,0,73.4,4.9
2019-10-03 06:00:00,265.75,0,0,72.6,3.2
2019-10-03 07:00:00,265.45,0,5.5,76,1.9
2019-10-03 08:00:00,265.65,0,117.7,74.3,4.1
2019-10-03 09:00:00,266.15,0,322.3,73,5.1
2019-10-03 10:00:00,266.55,0,487.5,72.6,5.4
2019-10-03 11:00:00,267.55,0,624.7,63.8,5.2
2019-10-03 12:00:00,268.75,0,707.7,70.2,4.9
2019-10-03 13:00:00,269.35,0,737,69.9,5.1
2019-10-03 14:00:00,270.75,0,707,62.8,4.4
2019-10-03 15:00:00,271.55,0,618.5,57.3,4.6
2019-10-03 16:00:00,271.35,0,464.3,58.7,5.3
2019-10-03 17:00:00,270.95,0,288.8,59.1,5
2019-10-03 18:00:00,269.55,0,26.7,65.6,4
2019-10-03 19:00:00,268.85,0,0.2,68.7,4.8
2019-10-03 20:00:00,268.75,0,0,65.3,5.4
2019-10-03 21:00:00,269.05,0,0,56.8,5.1
2019-10-03 22:00:00,269.35,0,0,48.4,4.7
2019-10-03 23:00:00,269.05,0,0,46.6,5.6
2019-10-04 00:00:00,268.75,0,0,43.4,5.6
2019-10-04 01:00:00,269.35,0,0,33.8,7.7
2019-10-04 02:00:00,269.85,0,0,29.7,7.5
2019-10-04 03:00:00,270.05,0,0,25.4,7.7
2019-10-04 04:00:00,270.35,0,0,26.2,8.6
2019-10-04 05:00:00,270.65,0,0,32,8.8
2019-10-04 06:00:00,271.25,0,0,30.8,10.2
2019-10-04 07:00:00,271.75,0,4.3,46.6,9.8
2019-10-04 08:00:00,272.55,0,67.8,53,8.6
2019-10-04 09:00:00,273.75,0,240.2,48.2,4.8
2019-10-04 10:00:00,274.65,0,343.7,38.8,3
2019-10-04 11:00:00,274.45,0,378.2,38.8,4.6
2019-10-04 12:00:00,,,,,
2019-10-04 13:00:00,,,,,
2019-10-04 14:00:00,273.15,0.4,251.2,78.3,2.4
2019-10-04 15:00:00,273.85,0,254.8,73.2,4.8
2019-10-04 16:00:00,273.35,0,146.5,81.5,4
2019-10-04 17:00:00,274.15,0,76.8,64.6,6.7
2019-10-04 18:00:00,273.75,0,21.2,67.5,6
2019-10-04 19:00:00,273.65,0,0.2,68.8,7.2
2019-10-04 20:00:00,273.55,0,0,67.8,6.1
2019-10-04 21:00:00,273.35,0,0,71.4,3.9
2019-10-04 22:00:00,272.55,0.1,0,79.5,4
2019-10-04 23:00:00,272.75,0.1,0,75.2,7.7
2019-10-05 00:00:00,272.25,0.1,0,76.9,4.5
2019-10-05 01:00:00,271.65,0.4,0,75,7.9
2019-10-05 02:00:00,271.05,0.1,0,70.3,8.1
2019-10-05 03:00:00,270.65,0,0,71.7,6.9
2019-10-05 04:00:00,270.75,0,0,75.9,3.8
2019-10-05 05:00:00,270.85,0.1,0,77.5,6.6
2019-10-05 06:00:00,270.95,0.1,0,78.1,6.1
2019-10-05 07:00:00,271.25,0.1,4.2,78.4,3.5
2019-10-05 08:00:00,271.25,0.2,45.5,81.1,1.3
2019-10-05 09:00:00,271.95,0,136.8,76.9,1.5
2019-10-05 10:00:00,272.15,0,254.8,78.4,1.5
2019-10-05 11:00:00,272.95,0,392.8,72.7,2.8
2019-10-05 12:00:00,273.15,0.1,463.2,74.3,1.4
2019-10-05 13:00:00,273.55,0,510.7,70.9,3.7
2019-10-05 14:00:00,272.95,0,286,79,2.2
2019-10-05 15:00:00,273.15,0.1,257.2,80.2,1.5
2019-10-05 16:00:00,272.85,0,148,82.2,0.8
2019-10-05 17:00:00,272.45,0.1,55.3,87.4,1.3
2019-10-05 18:00:00,272.15,0,12,92.4,1.3
2019-10-05 19:00:00,271.45,0.1,0,98.3,0.8
2019-10-05 20:00:00,271.15,0.1,0,97,1.5
2019-10-05 21:00:00,270.85,0,0,97.6,1
2019-10-05 22:00:00,270.75,0.2,0,96.9,1.2
2019-10-05 23:00:00,271.75,0.1,0,80.6,2.9
2019-10-06 00:00:00,272.45,0,0,74.6,7
2019-10-06 01:00:00,272.15,0,0,76.1,4.2
2019-10-06 02:00:00,272.25,0,0,75.4,4.7
2019-10-06 03:00:00,272.15,0,0,73.8,3.6
2019-10-06 04:00:00,271.95,0,0,73.2,4.5
2019-10-06 05:00:00,271.95,0,0,72.4,4.9
2019-10-06 06:00:00,272.15,0,0,70.3,4.8
2019-10-06 07:00:00,272.15,0,4,70.6,4.3
2019-10-06 08:00:00,272.45,0,81.5,68,2.1
2019-10-06 09:00:00,272.55,0,126.3,72.3,1.7
2019-10-06 10:00:00,272.65,0,326.8,74.6,3.2
2019-10-06 11:00:00,273.05,0,368.5,67.5,3.2
2019-10-06 12:00:00,273.15,0,324.3,70.3,3.5
2019-10-06 13:00:00,273.55,0,384.8,69.5,4.3
2019-10-06 14:00:00,273.85,0,304.3,71,5
2019-10-06 15:00:00,273.65,0,284.5,78.2,4.4
2019-10-06 16:00:00,273.95,0,143.8,77.3,4.4
2019-10-06 17:00:00,273.55,0,41.3,81.6,3.9
2019-10-06 18:00:00,273.25,0,8.3,83.3,2.9
2019-10-06 19:00:00,272.85,0,0,88.3,0.8
2019-10-06 20:00:00,272.75,0,0,90.9,1.7
2019-10-06 21:00:00,272.45,0,0,94.7,0.6
2019-10-06 22:00:00,272.25,0.5,0,96.5,0.2
2019-10-06 23:00:00,272.15,0.5,0,97.1,0.5
2019-10-07 00:00:00,272.15,1.2,0,97.4,1.2
2019-10-07 01:00:00,272.25,1.5,0,96.8,0.9
2019-10-07 02:00:00,271.75,1.4,0,97,1.1
2019-10-07 03:00:00,270.55,1.2,0,94.8,1.6
2019-10-07 04:00:00,269.95,0.1,0,93.3,1.2
2019-10-07 05:00:00,269.55,0.2,0,94.1,0.3
2019-10-07 06:00:00,269.55,0,0,84.5,1.3
2019-10-07 07:00:00,268.95,0,1.3,84.3,0.9
2019-10-07 08:00:00,268.75,0,25.5,88.9,2.6
2019-10-07 09:00:00,269.05,0,71.7,82.5,3
2019-10-07 10:00:00,269.15,0,192.3,85.1,4.2
2019-10-07 11:00:00,270.05,0.3,226.3,89.8,1.5
2019-10-07 12:00:00,270.45,0,277,88.9,1.1
2019-10-07 13:00:00,271.55,0,414.2,85,1.5
2019-10-07 14:00:00,271.25,0,329.2,89.5,2.7
2019-10-07 15:00:00,271.35,0,277.2,88.8,2.7
2019-10-07 16:00:00,271.75,0,387.2,92.4,2.1
2019-10-07 17:00:00,271.05,0,88,94.5,0.8
2019-10-07 18:00:00,270.55,0,18.5,97.6,0.6
2019-10-07 19:00:00,269.95,0,0,99,0.7
2019-10-07 20:00:00,269.55,0,0,99.7,0.5
2019-10-07 21:00:00,270.35,0,0,83.1,1.3
2019-10-07 22:00:00,272.15,0,0,46.9,2.3
2019-10-07 23:00:00,269.75,0,0,71.8,1.8
2019-10-08 00:00:00,269.35,0,0,81.2,0.6
2019-10-08 01:00:00,274.75,0,0.2,28.1,2.3
2019-10-08 02:00:00,275.05,0,0,26.4,2.7
2019-10-08 03:00:00,275.45,0,0,29.2,3.9
2019-10-08 04:00:00,275.55,0.1,0,28.5,5.8
2019-10-08 05:00:00,275.85,0,0,21.6,7
2019-10-08 06:00:00,275.75,0,0,18.5,8.2
2019-10-08 07:00:00,276.45,0,4.2,22.3,8
2019-10-08 08:00:00,277.25,0,60.2,22.4,7.6
2019-10-08 09:00:00,278.45,0,130.7,23.6,5.7
2019-10-08 10:00:00,279.05,0,141.2,43.7,6.2
2019-10-08 11:00:00,279.05,0,235.8,65.2,6.2
2019-10-08 12:00:00,280.15,0,322.3,66.5,1.9
2019-10-08 13:00:00,280.95,0,416.7,72.4,2.4
2019-10-08 14:00:00,280.75,0,217.8,74.1,3.2
2019-10-08 15:00:00,281.15,0,292,72.3,2.6
2019-10-08 16:00:00,281.45,0,225.3,70.7,3.4
2019-10-08 17:00:00,281.05,0,108.5,71.5,4.7
2019-10-08 18:00:00,280.65,0,22,69.9,2.8
2019-10-08 19:00:00,280.45,0,0,68.5,1
2019-10-08 20:00:00,280.75,0,0,63.8,2.3
2019-10-08 21:00:00,280.55,0,0,64.4,2.9
2019-10-08 22:00:00,280.45,0,0,64.4,4
2019-10-08 23:00:00,280.25,0,0,65.2,3.4
2019-10-09 00:00:00,280.15,0,0,63.9,5.4
2019-10-09 01:00:00,280.35,0,0,60.5,5.6
2019-10-09 02:00:00,280.45,0,0,58.7,5.2
2019-10-09 03:00:00,280.45,0,0,57.3,6.3
2019-10-09 04:00:00,280.25,0,0,57.7,5.8
2019-10-09 05:00:00,280.05,0,0,58.8,5.2
2019-10-09 06:00:00,280.15,0,0,57.8,4.7
2019-10-09 07:00:00,279.85,0,4.8,58.4,4.3
2019-10-09 08:00:00,279.95,0,53.7,58.6,4.9
2019-10-09 09:00:00,281.05,0,260.3,56.5,5.4
2019-10-09 10:00:00,281.15,0,444.2,59.5,6.2
2019-10-09 11:00:00,281.15,0,587.2,62.8,7.8
2019-10-09 12:00:00,281.45,0,672.5,61.3,11
2019-10-09 13:00:00,280.35,0,621.5,65.7,12
2019-10-09 14:00:00,278.35,0,306.2,76.8,11.3
2019-10-09 15:00:00,277.05,0,94.5,84.4,9.2
2019-10-09 16:00:00,276.55,0,33.7,86.6,9.1
2019-10-09 17:00:00,274.55,1.2,11.7,91.4,7
2019-10-09 18:00:00,272.05,1,7.7,98.2,1
2019-10-09 19:00:00,271.45,0.1,0,97.8,1.2
2019-10-09 20:00:00,271.45,0.1,0,96,2.2
2019-10-09 21:00:00,272.15,0,0,83.1,6
2019-10-09 22:00:00,272.15,0,0,69.2,6.2
2019-10-09 23:00:00,271.65,0,0,69.2,5.8
2019-10-10 00:00:00,271.65,0,0,62.6,5.6
2019-10-10 01:00:00,271.45,0,0,61.8,4.8
